model_name,modality,target_name,split_name,n_samples,base_rate,roc_auc,pr_auc,log_loss,brier_score,threshold,precision,recall,f1,notes
Structured MLP [128 64 32],Tabular (380 dims),left_company,structured_test,85096,0.2843,0.5755,0.3313,0.5899,0.2008,0.2469,0.3068,0.8470,0.4507,Final selected full-data structured model
HistGradientBoosting (GBDT),Tabular (380 dims),left_company,structured_test,85096,0.2843,0.5766,0.3319,0.5894,0.2005,0.2334,0.3095,0.8336,0.4514,Candidate tabular baseline (+0.0011 ROC-AUC over MLP)
MLP Candidate A [256 128 64 32],Tabular (380 dims),left_company,structured_test,85096,0.2843,0.5753,0.3313,0.5902,0.2008,0.2540,0.3079,0.8474,0.4516,Deeper 4-layer topology comparison
MLP Candidate B [64 32],Tabular (380 dims),left_company,structured_test,85096,0.2843,0.5757,0.3317,0.5895,0.2005,0.2313,0.3069,0.8550,0.4517,Compact regularized topology comparison
MLP Candidate C [256 128 64],Tabular (380 dims),left_company,structured_test,85096,0.2843,0.5750,0.3309,0.5897,0.2006,0.2280,0.3031,0.8771,0.4506,Wider 3-layer topology comparison
TF-IDF Baseline,Text NLP,high_burnout_risk,text_test,85197,0.5807,0.6673,0.7351,0.7041,0.2458,0.2918,0.6053,0.9516,0.7399,Native NLP benchmark on grouped holdout
DistilBERT + LoRA (Frozen),Text NLP,high_burnout_risk,text_test,85197,0.5807,0.7363,0.7565,0.6099,0.2079,0.3530,0.6726,0.8646,0.7565,Authentic 5.15h GPU fine-tuned transformer
Structured MLP (Aligned),Tabular (380 dims),left_company,aligned_holdout_test,8463,0.2883,0.5712,0.3346,0.5943,0.2026,0.2436,0.3045,0.8545,0.4490,Structured branch evaluated on dual holdout
TF-IDF (Out-of-Domain),Text NLP,left_company,aligned_holdout_test,8463,0.2883,0.5199,0.3007,1.1337,0.3871,0.1838,0.2895,0.9496,0.4437,Burnout model evaluated out-of-domain on attrition
DistilBERT + LoRA (Out-of-Domain),Text NLP,left_company,aligned_holdout_test,8463,0.2883,0.5452,0.3189,1.0089,0.3554,0.1452,0.2883,1.0000,0.4476,Burnout model evaluated out-of-domain on attrition
Sentinel Late Fusion (Optimal Tau),Multimodal Late Fusion,left_company,aligned_holdout_test,8463,0.2883,0.5719,0.3387,0.5942,0.2026,0.2313,0.3029,0.8660,0.4488,Final calibrated multimodal attrition model
